Student_ID,UnixTime_mean,UnixTime_std,UnixTime_min,UnixTime_max,Row_mean,Row_std,Row_min,Row_max,ET_GazeLeftx_mean,ET_GazeLeftx_std,ET_GazeLeftx_min,ET_GazeLeftx_max,ET_GazeLefty_mean,ET_GazeLefty_std,ET_GazeLefty_min,ET_GazeLefty_max,ET_GazeRightx_mean,ET_GazeRightx_std,ET_GazeRightx_min,ET_GazeRightx_max,ET_GazeRighty_mean,ET_GazeRighty_std,ET_GazeRighty_min,ET_GazeRighty_max,ET_PupilLeft_mean,ET_PupilLeft_std,ET_PupilLeft_min,ET_PupilLeft_max,ET_PupilRight_mean,ET_PupilRight_std,ET_PupilRight_min,ET_PupilRight_max,ET_TimeSignal_mean,ET_TimeSignal_std,ET_TimeSignal_min,ET_TimeSignal_max,ET_DistanceLeft_mean,ET_DistanceLeft_std,ET_DistanceLeft_min,ET_DistanceLeft_max,ET_DistanceRight_mean,ET_DistanceRight_std,ET_DistanceRight_min,ET_DistanceRight_max,ET_CameraLeftX_mean,ET_CameraLeftX_std,ET_CameraLeftX_min,ET_CameraLeftX_max,ET_CameraLeftY_mean,ET_CameraLeftY_std,ET_CameraLeftY_min,ET_CameraLeftY_max,ET_CameraRightX_mean,ET_CameraRightX_std,ET_CameraRightX_min,ET_CameraRightX_max,ET_CameraRightY_mean,ET_CameraRightY_std,ET_CameraRightY_min,ET_CameraRightY_max,ET_ValidityLeft_mean,ET_ValidityLeft_std,ET_ValidityLeft_min,ET_ValidityLeft_max,ET_ValidityRight_mean,ET_ValidityRight_std,ET_ValidityRight_min,ET_ValidityRight_max
1,1680003517.1742692,214.86609062487312,1680003145.0289032,1680003889.243748,44664.0,25786.628085114193,1,89327,807.1400535136527,493.28009134340704,-1.0,1821.0,454.13185853587544,263.6851895529471,-1.0,1080.0,849.4225227544978,471.2910444858645,-1.0,1827.0,484.65834107676636,253.9840807446312,-1.0,1079.0,0.05040832094513425,1.7610247340913299,-1.0,4.3318939208984375,0.16525796734998308,1.8595230789454902,-1.0,4.150405883789063,372182.61626606813,214856.4784301171,41.38800000003539,744248.8229999999,506.6306191452906,196.4580593819389,-1.0,603.6480712890625,519.1909384399863,175.23490234687648,-1.0,609.576904296875,0.3909504087438415,0.5382247715385644,-1.0,0.6260721683502197,0.2950946573914282,0.5010839552840648,-1.0,0.5052914023399353,0.29285967908664107,0.4354571631554063,-1.0,0.4662853181362152,0.33520716454347416,0.44965443167888997,-1.0,0.5071010589599609,0.5208065112009225,1.346108059816396,0.0,4.0,0.4074202612988816,1.2098372463033742,0.0,4.0
2,1676984992.2304103,257.05848185089314,1676984547.0160325,1676985437.380375,53435.0,30850.567296242705,1,106869,778.8192953726665,500.34265893056283,-1.0,1918.0,421.07037851494874,232.41619015027464,-1.0,1075.0,791.0875029242502,475.7953261854693,-1.0,1915.0,449.72269686052493,227.15600774093517,-1.0,1077.0,0.17113802754616295,1.8869313932549887,-1.0,3.9420013427734375,0.258316603328473,1.8988564269309065,-1.0,4.0721282958984375,445230.05005301075,257048.86673519426,16.64199999999255,890377.4159999999,550.6738378863986,201.1758024967273,-1.0,650.736572265625,568.8369499848008,171.8321523477378,-1.0,650.7225341796875,0.37503418427248125,0.5012782771318439,-1.0,0.692952275276184,0.34470724207257397,0.49008181448397187,-1.0,0.5467666983604431,0.29461086598465774,0.3900705505640005,-1.0,0.5380541682243347,0.3888675783938587,0.4182314498358068,-1.0,0.5468478202819824,0.4689280868385346,1.2867922487197803,0.0,4.0,0.3324568380667197,1.1042242584350086,0.0,4.0
3,1678717418.9027953,395.4724105587312,1678716734.0130155,1678718103.8632145,82207.0,47462.08924148479,1,164413,935.7058494364663,475.1298540941965,-1.0,1860.0,484.805953445371,242.957039464256,-1.0,1080.0,951.8481165872914,475.548486923165,-1.0,1851.0,510.15139073894983,241.02069203873532,-1.0,1080.0,0.5182279425035872,2.2558735784278983,-1.0,4.907073974609375,0.42190595526979163,2.1284890974511965,-1.0,5.085418701171875,684908.0056804251,395462.79622800107,25.038000000000466,1369865.744,579.4471860660939,154.14861025834236,-1.0,652.0732421875,583.3468660353767,145.295686243314,-1.0,636.0145263671875,0.4679839303323266,0.38977556888613796,-1.0,0.6154252886772155,0.35603735548444426,0.3600042302752595,-1.0,0.4660038948059082,0.338231613282701,0.33270100975218275,-1.0,0.474436342716217,0.3688812953001585,0.3402635037025058,-1.0,0.4805791974067688,0.2633432476324289,0.9919825148174056,0.0,4.0,0.23273665066997548,0.9363682967012769,0.0,4.0
4,1676379208.1049006,265.0556628880953,1676378749.030006,1676379667.1583045,55096.5,31809.834768511453,1,110192,617.8395288053146,547.9993167097625,-1.0,1909.0,315.8495389697608,275.1284321445634,-1.0,1080.0,593.0725759610847,542.2836485870923,-1.0,1920.0,326.1250771408865,288.52547674499976,-1.0,1080.0,-0.019453022602651974,1.7427291448349147,-1.0,4.884307861328125,-0.0641137260652763,1.655883406705738,-1.0,4.79998779296875,459104.3265930773,265046.04639620654,33.312000000005355,918153.639,508.27424412062413,349.12467209869624,-1.0,813.6182861328125,476.31820764152843,343.070327633376,-1.0,790.4943237304686,0.027590306797142094,0.704325242898884,-1.0,0.552565574645996,0.0009098580737215562,0.6860037347853868,-1.0,0.4988256990909576,-0.09605993113617467,0.6496148213675974,-1.0,0.4075223803520202,-0.03062108764507751,0.6965883026638741,-1.0,0.4958084225654602,1.2783606200312194,1.8652796522312138,0.0,4.0,1.362072094964969,1.895542296181236,0.0,4.0
5,1676462788.3090866,367.96065135233846,1676462151.0248604,1676463425.5541687,76490.0,44161.3777525113,1,152979,815.7839058669717,492.72165064918494,-1.0,1920.0,465.84326850792615,255.98967767687438,-1.0,1080.0,821.8666252655663,509.97711862649646,-1.0,1920.0,460.0675992809283,258.28460193480845,-1.0,1080.0,0.39956135801716475,2.128267808653405,-1.0,4.478607177734375,0.3837894209905239,2.1218842540706895,-1.0,4.34942626953125,637308.9946058834,367951.03537580266,24.97500000000582,1274553.743,585.8832155937672,191.97086925234086,-1.0,681.206298828125,571.0039402854534,206.36214556716098,-1.0,685.3875122070312,0.41697925747385756,0.46293428988905216,-1.0,0.6832742691040039,0.37241551032134923,0.44832129398451326,-1.0,0.5523245334625244,0.2508812889058833,0.4508332922445665,-1.0,0.5061919689178466,0.33847107894008777,0.48203777328202946,-1.0,0.5538021326065063,0.3845857166203628,1.179171650956356,0.0,4.0,0.45834940349730346,1.2740973471442514,0.0,4.0
6,1679143347.186376,392.25102055716815,1679142668.031996,1679144043.4652796,81513.5,47061.69682979992,1,163026,209.1488694777392,498.58238075979835,-1.0,1920.0,99.04689551103532,234.27944211286962,-1.0,1080.0,520.5223405429942,572.2320013308985,-1.0,1919.0,292.60688127982723,321.08739386913385,-1.0,1080.0,-0.6413529391108052,1.2021719830097355,-1.0,4.4130706787109375,0.18890137229054854,2.183119210724814,-1.0,5.263931274414063,679187.9043434873,392241.0412303584,41.69399999998859,1368300.802,133.1202400829863,281.3321982599165,-1.0,790.134033203125,403.67730082198005,358.6782308429528,-1.0,788.7889404296875,-0.7114594733253568,0.6051267522031346,-1.0,0.6586223840713501,-0.7255987199612591,0.575423701033055,-1.0,0.5746090412139891,-0.20446809104588543,0.7046408420864793,-1.0,0.543778657913208,-0.17426503312066943,0.7313103217402548,-1.0,0.5984417200088501,3.2588975721068323,1.55408870984868,0.0,4.0,1.7582657555421968,1.9853434799349385,0.0,4.0
7,1675688252.888277,313.45099704286764,1675687710.0279956,1675688795.765865,65155.5,37617.40112634045,1,130310,788.0658373367305,548.3899629124924,-1.0,1919.0,443.86269243166083,284.66079352645045,-1.0,1080.0,799.2811689408009,549.646150151735,-1.0,1919.0,447.9399260202907,289.6021766865757,-1.0,1080.0,0.06943019230916524,1.7930074834984828,-1.0,4.188522338867188,0.09502864930916369,1.823731001035122,-1.0,4.3327178955078125,542892.7124604775,313441.3806688594,33.33900000000722,1085766.885,539.6469114267084,259.3066053249261,-1.0,695.467041015625,540.6939203090983,252.80835469996103,-1.0,688.8453979492188,0.2612731234072823,0.6049073800645104,-1.0,0.60530287027359,0.21118717570984635,0.5808283356157894,-1.0,0.5139142274856567,0.15859053680799345,0.5406839041577627,-1.0,0.4927379488945007,0.2235853820773896,0.5709518451162369,-1.0,0.5131693482398986,0.7478397003975258,1.5595234043564161,0.0,4.0,0.7151781191963532,1.532726578138756,0.0,4.0
8,1675427468.8913286,189.33401341461058,1675427141.0319338,1675427796.7377317,39358.0,22723.207556739577,1,78715,818.3377291611083,463.4140101455438,-1.0,1919.0,450.7160371485561,247.6410860710031,-1.0,1080.0,784.57055557673,431.25424800821514,-1.0,1920.0,480.26876802479956,255.47589566149088,-1.0,1080.0,0.5639290348066597,2.451451146785106,-1.0,5.8504791259765625,0.5892474423159267,2.406476011041236,-1.0,6.277389526367188,327894.7178034455,189324.4049121069,41.5509999999922,655736.506,590.3398339547224,208.25156932479632,-1.0,720.3094482421875,603.3270230855524,189.3838462170937,-1.0,1669.192626953125,0.38435549815974396,0.4873756651787347,-1.0,0.6091888546943665,0.3537663505373178,0.47659191704512016,-1.0,0.5815433859825134,0.2712985513838398,0.39821743327879294,-1.0,0.6046169400215148,0.3843962913484971,0.4335966826385571,-1.0,0.5997061729431152,0.4410057044123439,1.252819510974792,0.0,4.0,0.3572562920049294,1.1407934273420668,0.0,4.0
9,1676375293.0552673,332.60360955767317,1676374717.027004,1676375869.1193695,69137.5,39916.40989826949,1,138274,841.9718738699646,476.83063656890954,-1.0,1913.0,469.1646995009763,243.22217962942395,-1.0,1080.0,867.2645186953063,464.22793865208996,-1.0,1906.0,499.4579807622767,241.85067726030258,-1.0,1080.0,0.16973296176708727,1.8603569202110175,-1.0,4.311279296875,0.24720859186866756,1.9411033313846693,-1.0,4.1601104736328125,576057.3476819268,332593.9929569069,33.30199999999604,1152114.83,537.9813030414798,169.7251389814512,-1.0,664.5645751953125,538.9315894847166,159.85243841923997,-1.0,670.6864624023438,0.40405507745979546,0.44044538470659483,-1.0,0.6383234858512878,0.41997948508506794,0.4453900095382768,-1.0,0.6018903255462646,0.2828697229154613,0.378002321963658,-1.0,0.5032655000686646,0.44391989211306065,0.4253402204085008,-1.0,0.6031949520111084,0.35805308454473134,1.141936844923449,0.0,4.0,0.3191726332537788,1.0838947641794636,0.0,4.0
10,1677153688.0631738,295.05775815162275,1677153177.0280051,1677154199.0627944,61332.5,35410.19104721125,1,122664,792.9321946844938,511.1187626129727,-1.0,1918.0,473.6784118702103,282.0901904034938,-1.0,1080.0,827.2733490950595,476.55466231934156,-1.0,1917.0,490.4821702266428,247.23588894795733,-1.0,1080.0,0.009678752282772565,1.8308414269522635,-1.0,4.748321533203125,0.48354793270552077,2.230134092757618,-1.0,4.722381591796875,511071.14112877054,295048.14261014864,41.668999999994405,1022067.025,552.7509596631361,215.88453214280196,-1.0,783.1778564453125,576.9599672305998,183.09373375697166,-1.0,742.0172119140625,0.39193201138803935,0.5418078094713928,-1.0,0.6630927324295043,0.2961665595178404,0.5045571028936434,-1.0,0.6400166153907775,0.31718922635139774,0.41647564772759416,-1.0,0.5375422239303588,0.3594640091583971,0.42984960072841605,-1.0,0.5832955837249755,0.5261699005380728,1.35197623484957,0.0,4.0,0.3633784444806783,1.1495567221918779,0.0,4.0
