Student_ID,UnixTime_mean,UnixTime_std,UnixTime_min,UnixTime_max,Row_mean,Row_std,Row_min,Row_max,SampleNumber_mean,SampleNumber_std,SampleNumber_min,SampleNumber_max,Timestamp RAW_mean,Timestamp RAW_std,Timestamp RAW_min,Timestamp RAW_max,Timestamp CAL_mean,Timestamp CAL_std,Timestamp CAL_min,Timestamp CAL_max,System Timestamp CAL_mean,System Timestamp CAL_std,System Timestamp CAL_min,System Timestamp CAL_max,VSenseBatt RAW_mean,VSenseBatt RAW_std,VSenseBatt RAW_min,VSenseBatt RAW_max,VSenseBatt CAL_mean,VSenseBatt CAL_std,VSenseBatt CAL_min,VSenseBatt CAL_max,GSR RAW_mean,GSR RAW_std,GSR RAW_min,GSR RAW_max,GSR Resistance CAL_mean,GSR Resistance CAL_std,GSR Resistance CAL_min,GSR Resistance CAL_max,GSR Conductance CAL_mean,GSR Conductance CAL_std,GSR Conductance CAL_min,GSR Conductance CAL_max,Packet reception rate RAW_mean,Packet reception rate RAW_std,Packet reception rate RAW_min,Packet reception rate RAW_max
1,1680003517.1375403,214.84533529137593,1680003145.0289032,1680003889.243748,47632.0,27500.203684094173,1,95263,95771.0,27499.04898355578,48142.0,143400.0,8069987.75922485,5410205.345452558,28.0,16776988.0,748210.9375,214836.32018403604,376109.375,1120312.5,1680003517175.7188,214836.32018402952,1680003145074.157,1680003889277.282,2519.572176907169,7.862871921367599,2486.0,2544.0,3669.530760213518,11.45156731111707,3620.635897435897,3705.107692307692,2617.683064067437,5006.649597555157,1119.0,20347.0,55.44326091112827,5.137886400870744,40.25898752751284,66.90947907771135,18.204061630688237,1.8276394404516574,14.945565468213552,24.83917409290543,87.0,0.0,87.0,87.0
2,1676984992.1990845,257.0351156614737,1676984547.0160325,1676985437.380375,56985.0,32900.16075188691,1,113969,366810.7385162111,32899.340530411566,309828.0,423793.0,7933133.271021805,5014751.321137413,112.0,16777072.0,2865708.894657899,257026.0978938424,2420531.25,3310882.8125,1676984992397.6497,257026.09789384188,1676984547220.0054,1676985437571.568,2553.870249638047,7.760291626109141,2521.0,2575.0,3719.4828251138733,11.302168317000747,3671.610256410256,3750.2564102564097,18448.58288070899,112.80714806795974,18201.0,19083.0,142.61992730786875,11.078643402187367,97.13736672452268,172.65535478184225,7.055853177159139,0.5759066154507928,5.791885234393945,10.294699493305766,99.0,0.0,99.0,99.0
3,1678717418.9409692,395.4526870538883,1678716734.0130155,1678718103.8632145,87672.5,50617.597137754376,1,175344,136622.2226987567,50616.78955109422,48952.0,224292.0,8145620.960168815,5045405.958529849,127.0,16777087.0,1067361.1148340367,395443.66836792225,382437.5,1752281.25,1678717419458.493,395443.66836792405,1678716734534.8772,1678718104378.6272,2572.751494239763,7.760637579656789,2538.0,2598.0,3746.981663405603,11.302672167294169,3696.3692307692304,3783.7538461538456,42918.5053724193,9364.069079832092,17873.0,53085.0,653.2010005300618,246.86906515984822,167.34515164459637,1038.621166705096,1.8515008408656026,0.9271292116703113,0.9628149628149624,5.975673571492385,95.94974905897114,4.924313946549327,88.0,99.0
4,1676379208.0939388,265.0522576138513,1676378749.030006,1676379667.1583045,58763.0,33926.68953051565,1,117525,89251.0,33925.53482997726,30491.0,148011.0,7940130.516299214,4909088.7843861105,230.0,16777190.0,697273.4375,265043.2408592046,238210.9375,1156335.9375,1676379208496.6392,265043.24085919786,1676378749434.139,1676379667559.139,2743.6486670467407,8.809551223789164,2706.0,2768.0,3995.8780586732014,12.830320756696253,3941.0461538461536,4031.343589743589,43844.48303707423,9192.953513352557,34397.0,53083.0,697.005678061324,53.70978201254464,544.041450777202,756.9316081330869,1.4441280692401768,0.12269539826184889,1.321123321123321,1.8380952380952384,99.0,0.0,99.0,99.0
5,1676462788.2892869,367.9344538209643,1676462151.0248604,1676463425.5541687,81571.5,47095.18314541308,1,163142,122999.94261913227,47094.45575667886,41431.0,204569.0,7911311.359597396,5067128.706533541,35.0,16776995.0,960937.0517119708,367925.43559905357,323679.6875,1598195.3125,1676462788662.5945,367925.4355990552,1676462151405.2302,1676463425920.8552,2701.8796846841324,8.927670880410577,2666.0,2730.0,3935.0452843604803,13.0023514360846,3882.789743589744,3976.0,18975.170499822238,204.9623509659626,18478.0,19479.0,103.8603405967676,11.600195160420409,81.19274611398964,138.77258235919237,9.744204923088342,1.046380268106155,7.206034383734731,12.31637120138862,99.55737473795192,0.49669875349275816,99.0,100.0
6,1679143263.6325114,343.88125492298065,1679142668.031996,1679144043.4652796,76238.0,44015.885484674734,1,152475,96344.78026641131,44015.0277474465,20109.0,172580.0,7753607.866879603,4794247.4682837995,105.0,16777065.0,752693.5958313384,343867.4042769255,157101.5625,1348281.25,1679143264582.2803,343867.40427692654,1679142668990.2478,1679143860169.9353,2552.7351955453823,8.070716796017841,2517.0,2578.0,3717.829720691737,11.754274718303954,3665.7846153846153,3754.625641025641,35536.53456722918,2426.5027594877924,34320.0,52432.0,1987.8625012746854,9491.96917989822,275.25710828796133,409500.0000000015,2.3930035067221813,0.5220369620598198,0.0024420024420024,3.632967032967033,97.46191078959278,2.89844115904556,92.0,99.0
7,1675688252.898406,313.4346619817552,1675687710.0279956,1675688795.765865,69489.5,40119.63719302556,1,138978,95506.5,40118.48249248717,26020.0,164993.0,8424119.085210184,4707755.082999629,166.0,16777126.0,746144.53125,313425.6444725607,203281.25,1289007.8125,1675688253643.3206,313425.6444725562,1675687710780.0398,1675688796506.6023,2759.3017470893838,8.680112692563146,2723.0,2790.0,4018.675364991717,12.641805152248788,3965.805128205128,4063.3846153846152,18913.62069883575,2663.623200278816,1119.0,20350.0,87.61012912189216,10.726981130892252,51.33115060804492,120.94936708860762,11.594918907332476,1.5249979410687342,8.267922553636838,19.48134783955679,100.0,0.0,100.0,100.0
8,1675427464.92519,187.01107161897338,1675427141.0319338,1675427796.7377317,41461.0,23937.37517286861,1,82921,47814.0,23936.220472330213,6356.0,89272.0,8208288.742875406,4359839.858076571,249.0,16777209.0,373546.875,187001.72244009498,49656.25,697437.5,1675427465231.0679,187001.72244008156,1675427141340.4429,1675427789121.6929,2801.775329546414,8.34282481059865,2764.0,2825.0,4080.5343261086236,12.15057562158969,4025.517948717949,4114.358974358976,1588.4994994994995,33.315764603676165,1488.0,1719.0,30.325003129221177,1.1404309590439956,26.470332850940675,34.061452513966486,33.02168642135474,1.2142862465575692,29.35870100049204,37.778142255754176,100.0,0.0,100.0,100.0
9,1676375293.0724125,332.5909634273517,1676374717.027004,1676375869.1193695,73736.5,42571.643786288856,1,147472,102572.5,42570.48908575047,28839.0,176306.0,8118059.9402446635,4647195.156324943,35.0,16776995.0,801347.65625,332581.94598242996,225304.6875,1377390.625,1676375293809.4324,332581.9459824253,1676374717766.4631,1676375869852.4006,2764.0655735481596,9.149765062988411,2726.0,2790.0,4025.6134507060374,13.325811681479733,3970.174358974359,4063.3846153846152,43325.21643339572,8822.02727229154,34397.0,52962.0,720.321022955758,192.73486058701087,348.12547819433826,1024.9146757679184,1.511278385210357,0.47865786788016,0.9756909756909754,2.872527472527472,100.0,0.0,100.0,100.0
10,1677153688.0450695,295.04740800626416,1677153177.0280051,1677154199.0627944,65413.0,37766.06882065787,1,130825,75934.0,37764.91412011949,10524.0,141344.0,8394997.313863982,4845545.568915597,9.0,16776969.0,593234.375,295038.39156346483,82218.75,1104250.0,1677153688819.5347,295038.3915634336,1677153177803.9087,1677154199835.1587,2619.4457923422083,7.847041805680369,2587.0,2644.0,3814.9877180778817,11.4285121682703,3767.7333333333327,3850.7487179487175,48949.843794192064,6235.8138620889,34397.0,53083.0,1164.3444536166762,306.39620585558555,347.2398880691936,1483.207112281857,0.9548438968761392,0.3817641818773244,0.6742146742146741,2.8798534798534803,85.0,0.0,85.0,85.0
