0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.7783844,9.7651825,2.9744837,0.0,0.0,18.218887,9.305568,3.5376785,10.411487,2.2410471,0.0,0.0,0.0,3.3124456,3.4569893,0.0
0.0,0.05695258,0.0,0.0,0.0,0.0,10.485539,3.439904,14.170021,0.40373608,11.057111,8.409361,0.0,0.5903763,0.0,5.1618958
0.0,3.3619926,0.0,0.0,1.8165615,5.8465514,10.137059,14.038425,0.0,8.920643,5.05262,3.2496247,0.0,0.0,10.446107,0.0
0.0,0.49312353,2.5235248,0.0,14.519046,0.0,4.0859914,3.5708885,8.7483635,0.67399067,5.1235323,1.4742107,0.0,11.335763,0.0,0.88306975
0.0,2.9213412,0.6573151,0.0,0.0,0.0,0.14364477,0.0,0.0,1.9007212,9.159972,6.3717284,0.0,0.0,5.5151253,0.023388404
0.0,9.446895,6.1273484,14.142296,0.0,0.0,0.0,0.0,0.0,0.0,13.17351,0.0,0.0,4.6392636,0.0,4.612441
0.0,0.0,0.21552749,0.0,14.627266,2.5207238,7.589938,8.568348,0.0,0.6279226,12.044649,3.7495723,0.0,3.8753717,0.0,5.2667685
0.0,16.42106,9.815188,1.9749192,0.0,10.449846,0.48906252,0.14398749,5.1103578,0.0,0.0,0.0,0.0,11.638117,3.8958304,0.0
0.0,2.0186436,4.891266,1.7570127,0.0,0.0,0.0,0.0,0.0,0.3842486,0.0,14.1753645,0.0,0.0,16.99597,2.3985715
0.0,0.0,27.307055,6.9349713,0.0,11.711643,2.2863743,14.090481,13.447816,14.062449,0.0,0.0,0.0,25.626642,0.0,0.0
0.0,8.758276,6.60667,0.0,0.19367942,1.5303385,0.0,7.4552927,0.0,13.455853,0.0,14.214621,0.0,2.0416532,3.7956479,4.550636
0.0,2.1076703,0.0,15.085831,0.0,0.0,0.0,1.2573744,4.7867465,0.0,0.0,11.8329525,4.1947923,2.0036392,1.0855088,13.261727
0.0,15.414318,2.4508924,0.0,0.0,10.022586,12.883554,19.890947,6.2293825,0.0,14.461831,0.0,0.0,5.8826222,9.077792,0.0
13.741857,6.382964,11.366391,3.897827,0.5093818,10.727916,3.0672803,10.780139,2.5569284,14.003811,8.071549,0.0,0.0,0.5506006,0.0,0.0
0.0,8.680539,0.0,3.0876017,0.0,0.0,0.0,2.7925436,17.721716,1.2126312,0.77599686,5.316576,0.0,2.4859068,0.0,17.632044
0.0,8.673784,3.6176882,0.0,0.0,16.562016,0.18946385,2.2498152,4.4866443,0.0,2.6945524,0.0,0.0,7.3343754,12.410035,0.0
0.0,14.759813,2.7424448,0.0,0.0,1.0040184,0.0,4.6264033,8.962415,0.0,0.0,0.0,0.0,1.057814,11.487499,0.0
0.0,2.3047016,2.16647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7570102,2.2492843,0.0,2.8977141,0.0,35.86178
0.0,7.611107,5.7481694,0.0,0.0,0.0,0.0,7.6672683,0.0,0.7716757,4.351585,1.5910624,0.0,0.0,19.377436,0.0
0.0,3.3779435,2.7995467,4.395444,0.0,11.2869215,17.270687,10.340609,3.9201043,0.56271905,6.476576,4.267656,0.0,1.3100455,0.8859115,0.0
0.0,0.0,6.0952983,0.0,8.324234,0.0,3.6460214,0.40466878,0.0,0.0,17.081095,3.1084285,0.0,0.5862086,0.0,2.4104013
0.0,0.0,1.629857,0.0,0.0,0.0,6.4764814,0.0,0.0,0.0,0.0,7.2284813,0.0,0.0,2.9622943,0.0
3.032468,0.0,0.0,0.0,1.6078837,0.0,0.0,2.0338342,3.3474855,8.449153,21.262186,12.187698,0.0,6.92744,0.0,10.214801
0.0,12.681328,11.233481,0.0,12.28049,8.810952,1.8914866,13.453929,2.6316054,8.396931,8.677571,0.0,0.0,8.997875,5.3575606,0.0
0.0,0.0,0.0,0.0,15.463301,5.48151,15.51896,7.7942877,0.0,11.952697,1.3808056,9.1460085,0.0,0.0,2.8433897,1.8964915
0.0,1.8440167,5.854861,0.0,0.0,0.0,8.82585,8.756128,3.2180197,6.2844343,14.543194,0.0,0.0,3.105009,0.0,0.0
0.0,8.6012,0.0,0.0,0.0,0.6818296,0.0,9.293576,0.4010949,0.0,3.7053275,0.0,0.0,10.237556,0.10636594,9.818661
1.656095,4.0709653,10.810421,0.029199963,0.0,4.349395,0.0,17.276476,0.0,0.5361184,2.7659414,0.0,0.0,0.6496069,0.0,0.0
0.0,0.7333155,0.0,0.0,11.527801,0.5820954,1.4072876,9.410891,0.33382142,4.221821,0.03703446,1.5541027,0.0,3.9191658,0.0,0.8400751
0.0,0.0,1.6649368,0.0,0.0,0.9331106,0.7885475,0.0,1.3773333,4.556308,0.0,0.02387728,0.0,13.22464,5.589381,2.3249726
